video_id,compound_score
zuKX0fPlo2Q,0.9394
UJKl7ToDi20,0.8954999999999999
dsH83p_mfEs,0.8493666666666666
94U8bow4CU4,0.8211
fc_oYX7JJ-U,0.8208333333333334
lJj66BCiZWQ,0.7852333333333333
Ekc7lWx0468,0.7667
T_t-ByJoDgM,0.759248666666667
SmfWvo4cMpU,0.7581702499999998
KQ19fT4BQQU,0.7552
K20YGjVkZRw,0.7208022500000001
kKjY7wDxF2w,0.7182199999999999
f5F2whaRzqw,0.7165571428571429
IOp8n5TzcSQ,0.712361111111111
vo391vKvD4s,0.7052297500000004
_zl2GV89_GM,0.6979666666666667
mi52IqpOp54,0.6645
Iuc0O_Ryq18,0.663485
BMCLQf75ev0,0.655312
8fH_PAi6Yf4,0.6533485
CK-0c50Si5w,0.6429460000000005
aRgTLb5EbiQ,0.6359842500000005
C7ENj3R4Z5Q,0.633984
VVYhDFiTvqU,0.631672
yWatz9TAgT0,0.6258973333333339
S-a8NVEUO4E,0.6249
U1ArsQ72hRA,0.62044
wiBhzhQu_2c,0.619783333333333
cPZ3u1z8kU0,0.6187870588235296
hQbeB0YXLhs,0.6181983333333337
j3MvNvV27hw,0.6181829999999999
pYggEswHnos,0.6180906666666665
oD7nZouNyDA,0.6157714999999997
cq50fkILrwM,0.6140819892473115
AHrCI9eSJGQ,0.6128544999999999
p25S_5P6ejg,0.6095746000000002
1kHmFjHzR-s,0.60728175
0d6eJcWYqBc,0.6060869999999998
NheUm_izr6A,0.6038954545454546
Uw3eeaFT5Rw,0.6021090000000002
ei6FVbMysc4,0.601791
IEGEovFX534,0.5996323170731708
UejIDD3lhEA,0.5983
_iBpGz54ngs,0.5979115226337449
4Rg-YN7XFcM,0.5962731707317073
DtsWj9XiOIY,0.5962712500000003
FlwK54Qun3Q,0.5960965014577256
JxEj2ZjgNzs,0.5928734999999998
cviyIIvBlto,0.58876
Fzt75I_Zi14,0.5876333333333333
6v-oVPROexw,0.5852029999999998
EgUXkpAyqps,0.5839047619047619
6HXaooyXjds,0.5832753541076489
0tOUQt5fem0,0.582246153846154
ZWTlL_w8cRA,0.5804821999999997
1wwwXCQyIRA,0.579967670682731
UApJ0enDJTs,0.5789039999999999
40M4DF8aIYs,0.5784814999999999
s7eVr-OUYkQ,0.578384090909091
4F2KWDQQMhY,0.5779980000000001
c5vSFtnWkDA,0.5778152000000006
PHpMh4E4KKQ,0.5770921212121214
I1P7GoZcZpU,0.5757048611111112
Zmi9iQp6944,0.5756799999999997
bpy5Kfdhp8o,0.5729545454545455
IA9vLOmFyp4,0.5717886666666668
mvuN2LQf09o,0.5714687500000001
ciXIdvfejn4,0.5682939849624061
is7Hx7B5e2c,0.5648700000000002
pOZ5FrTMQMA,0.5616915999999996
o0hMhEsMUs0,0.5598639999999999
x7cwR2G-5Ng,0.557876923076923
LSYc5HvyXKo,0.55686475
lBp01IbxMEg,0.556444262295082
RbXYadQw1C4,0.5551116666666664
8ijNvyEbQ_g,0.5546098360655738
W7DErx-Yg9g,0.5537262500000003
7k8PFMQQIxI,0.5529104
y9vsRUmPCKk,0.5516444999999999
bAMinWdgUCg,0.5508013333333334
f3uF3EpSZMw,0.5502480000000002
6vGg-jJl30A,0.5498004999999999
VSRz1ReNg3Y,0.5492185185185186
y_h_1uN2RQA,0.5481809999999999
k8T9SMqAqyc,0.5461155000000002
SIyW-80e_v4,0.5456574999999999
FMVw_Ty8qTY,0.5452300000000001
K9Qn3Gzm2ig,0.5446073684210527
5Vd10gwNJRs,0.5445112403100772
Q7o163QU8CE,0.5441870000000001
fM6JOfiAPgQ,0.5436030000000001
MKMgoXEpO-E,0.5433949999999996
XYURnv4Ld2M,0.5408240000000001
8ropWor8aAM,0.5399220000000002
eP_LYrgztRI,0.537397
mR3-KaWftIo,0.537133333333333
Bn7ZtoFTm2Y,0.5363109999999996
rRZp93mMZaI,0.5348058139534881
RSJ2mRqL1cA,0.5342333333333333
IvQQJmWdtH8,0.5341840000000002
DeIaemmxMl4,0.5338067499999998
M7XdnYiQKjQ,0.5316562499999997
xGzppQWQvq0,0.5303078817733989
tku0H7YeMeA,0.5302428571428575
JKZM1uTWBJw,0.5295148148148148
5QCv3dJBPyQ,0.52919525
y8fZDZHSl7Q,0.5281355614973262
uZ8L6qLeC74,0.5281355000000001
btSvAjUrBhU,0.527814
9QZb-659ZfY,0.527128
4CyvvCx6Us0,0.5225826666666666
b-znn2eQL08,0.5224970000000001
AQa9pEkQ_0Y,0.5216112
xA70bP5uzao,0.5209015000000001
Z9svINZiBdU,0.52063575
xTyTQgb-y-A,0.5131797535211272
7uOvL5eLpeE,0.5130697394789581
-LoSw4o2zDQ,0.5129090000000002
5DDB6YnVCoA,0.5119689419795221
Rew50oYjRqA,0.5103740000000001
DdA7tUIzA5Q,0.5103296666666675
wHrpTT1-fPg,0.5100217999999999
iTUsiJh9PgE,0.5098207500000003
RlduVwzqK2o,0.5097082500000002
zWxo4uZW-1I,0.5091959999999996
vp_Dbt3FPDs,0.5084300000000002
vS_NlXmPB3I,0.5067607500000002
B1TJp73shl8,0.5049701298701297
AaGVAaGylgQ,0.5041969999999999
RsCsBqIlnHw,0.5031035999999997
qi2uOOAKJjY,0.5028113333333329
YjtRY28Pe2o,0.5025402777777779
7bdZn5MKugo,0.5019034000000001
mPw8v7Zix5c,0.4982911111111111
fQxLlq7lxVM,0.49805549999999976
HUgYoT_xEFY,0.4976706000000001
yCcghtLzNRw,0.4975
dRX0wDNK6S4,0.49734533333333353
fLLe5sODKtg,0.49727275000000004
ydbxmm88-As,0.49713333333333326
BdTpRsW4azY,0.4932045226130652
