videoId,textDisplay,textOriginal,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,canRate,viewerRating,likeCount,publishedAt,updatedAt,parentId,commentId
d380meD0W0M,"<a href=""https://www.youtube.com/watch?v=d380meD0W0M&amp;t=2m56s"">2:56</a> that did not age well",2:56 that did not age well,Darcy Walker,https://yt3.ggpht.com/ytc/AGIKgqPJr3uFJaz7jDqlDhTTUJ9yqvMoY-NnBfy-8GL1Pg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCnW-wux4njtnwfYHjGCCMow,{'value': 'UCnW-wux4njtnwfYHjGCCMow'},True,none,16,2020-07-07T21:59:56Z,2020-07-07T21:59:56Z,,UgzdlMUTkbEKLpzwmIl4AaABAg
d380meD0W0M,"My fav part is the seasoning salt  <a href=""https://www.youtube.com/watch?v=d380meD0W0M&amp;t=5m21s"">5:21</a> 😂😂😂",My fav part is the seasoning salt  5:21 😂😂😂,JOLLY GEORGE,https://yt3.ggpht.com/ytc/AGIKgqOL8ku12Gyn_2coDRBDgO6-QcilqEjQI-pYdE7T4w=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCKWzlkC_4G0ZYCDyWrVgYPw,{'value': 'UCKWzlkC_4G0ZYCDyWrVgYPw'},True,none,1,2020-07-03T09:23:17Z,2020-07-03T09:23:42Z,,UgzeyBr3qtjcetxQ2Jx4AaABAg
d380meD0W0M,"No one:<br><br><br><br><br><br><br><br><br><br>Derrick: I&#39;ve won, but at what cost","No one:









Derrick: I've won, but at what cost",Sidratu Kanu,https://yt3.ggpht.com/ytc/AGIKgqPoBg2QLIKPkWydaTFzDaX8KQ2zaCcyP0jxCA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCastS53uSenyk3mtjlot4tQ,{'value': 'UCastS53uSenyk3mtjlot4tQ'},True,none,1,2020-06-29T14:39:20Z,2020-06-29T14:39:20Z,,Ugy5xNbVj7qdhCQitJh4AaABAg
d380meD0W0M,oh man first dare and i couldnt watch already,oh man first dare and i couldnt watch already,Alexandra Lynn,https://yt3.ggpht.com/ytc/AGIKgqMIh-n1ehNJXhjITyetQduO4RhgEZpcKqcq9A=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCEdrx6PI_EDJlNpJDHecO9Q,{'value': 'UCEdrx6PI_EDJlNpJDHecO9Q'},True,none,0,2020-06-21T12:29:23Z,2020-06-21T12:29:35Z,,UgzjxE5N0B5CUh7ivTR4AaABAg
d380meD0W0M,this game is disgusting,this game is disgusting,ggajend,https://yt3.ggpht.com/ytc/AGIKgqNxHTPQ2giPSpB3LoObNnpBB4UOldqe2updrg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC6oaqyxyMxCRUWYYkVqBDGA,{'value': 'UC6oaqyxyMxCRUWYYkVqBDGA'},True,none,0,2020-06-15T09:12:58Z,2020-06-15T09:12:58Z,,UgwNhXVByw-4dgDf4594AaABAg
d380meD0W0M,"Greg pulled a Kombucha Girl at <a href=""https://www.youtube.com/watch?v=d380meD0W0M&amp;t=6m30s"">6:30</a> lmao",Greg pulled a Kombucha Girl at 6:30 lmao,Sushi Sudhi,https://yt3.ggpht.com/ytc/AGIKgqNbb7Ixp7XhPJpgpxasLmMBT3AD4yM3UHV5uA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCcw11tLv1vVEwY9vsp3io0Q,{'value': 'UCcw11tLv1vVEwY9vsp3io0Q'},True,none,1,2020-06-14T12:29:03Z,2020-06-14T12:29:03Z,,UgxI6puvtC6gLAOmE9N4AaABAg
d380meD0W0M,"I dare you logic:<br>Derek gets 2 points if he eats an raw egg that&#39;s been cracked on a bin.<br><br>But Paco only gets 1 point for eating a raw egg that has been cracked on a bin, in and out of Derek&#39;s mouth and onto the floor.<br><br>Me: <b>Visible confusion</b>","I dare you logic:
Derek gets 2 points if he eats an raw egg that's been cracked on a bin.

But Paco only gets 1 point for eating a raw egg that has been cracked on a bin, in and out of Derek's mouth and onto the floor.

Me: *Visible confusion*",Alien,https://yt3.ggpht.com/ytc/AGIKgqPbudyg9NpQumXtQuxE6oWWQG0ybYJkPjVzuxaq=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCze7mR2q43WXz7hRGb6dXgg,{'value': 'UCze7mR2q43WXz7hRGb6dXgg'},True,none,3,2020-06-10T11:40:59Z,2020-06-10T11:40:59Z,,UgxJJmYzErNZyOXlH1B4AaABAg
d380meD0W0M,Derek-ation is real,Derek-ation is real,jcxkzhgco,https://yt3.ggpht.com/V0uaGWXDm7aW3N6JIz48OGrrFCxX4NSsX859LmlnP31rv1cKjkUoNNbOo1RK_tEZJwSFtdx8LCM=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCkohS5wVVHO-GArGc54sXJw,{'value': 'UCkohS5wVVHO-GArGc54sXJw'},True,none,0,2020-06-05T10:03:21Z,2020-06-05T10:03:21Z,,Ugz4_VYHfaH-geTVEFJ4AaABAg
d380meD0W0M,"How to get corona, eat eggs off the street","How to get corona, eat eggs off the street",randomchickendude _123,https://yt3.ggpht.com/ytc/AGIKgqP0z-MbDD1BbpVbLsJAe9tOOHEB6tPQE2y0S7V7=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCpo92-FUhckEV0JoFXDIH3w,{'value': 'UCpo92-FUhckEV0JoFXDIH3w'},True,none,0,2020-06-04T23:01:18Z,2020-06-04T23:01:18Z,,UgwGpD28W-m2ah5p8zd4AaABAg
d380meD0W0M,"<a href=""https://www.youtube.com/watch?v=d380meD0W0M&amp;t=6m29s"">6:29</a> Kombucha Girl",6:29 Kombucha Girl,Bap2,https://yt3.ggpht.com/ytc/AGIKgqO8xWRaFRVnsFCFU6MYAvy-DKOhTcjBTsB8NIqXCw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCSCM9K9HscY83K45kEBxPAQ,{'value': 'UCSCM9K9HscY83K45kEBxPAQ'},True,none,1,2020-05-23T17:22:28Z,2020-05-23T17:22:28Z,,UgzFTwsEb5NYlatQjz14AaABAg
d380meD0W0M,is it just me or is paco kinda good looking??,is it just me or is paco kinda good looking??,jaden,https://yt3.ggpht.com/DBwnGZmXLX_JaKB7JsFK_BRPEtwZdLhMcxe88b0exkiBHGeDVlgJx1qlhiIxmeiyhLrvI9BOtA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC0DMNuU05yNacKhucGQWz2A,{'value': 'UC0DMNuU05yNacKhucGQWz2A'},True,none,0,2020-05-13T16:37:15Z,2020-05-13T16:37:15Z,,UgzXozrviN9WT20UUDB4AaABAg
d380meD0W0M,"I DARE YOU LICK EACH TOUNGE THE PERSON LEFT OF YOU FOR 25 SECONDS WHILE SAYIN THIS IS THE LIFE, I LIKE YOUR TOUNGE, AND I LOVE YOU LOL","I DARE YOU LICK EACH TOUNGE THE PERSON LEFT OF YOU FOR 25 SECONDS WHILE SAYIN THIS IS THE LIFE, I LIKE YOUR TOUNGE, AND I LOVE YOU LOL",barean,https://yt3.ggpht.com/F0cRBmv4HG9K94hSpsTxl0N0HhIaDvvCS6PZ15mWASL6PtKjlWMpmkZ1t9Z_V1nqn734grz7Hw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCC7s8O7Y6Wc7dNqC_QkgOHQ,{'value': 'UCC7s8O7Y6Wc7dNqC_QkgOHQ'},True,none,1,2020-05-11T02:16:31Z,2020-05-11T02:16:31Z,,UgznVLd9aAjhlpLrcq14AaABAg
d380meD0W0M,I dare you to choose a dare that someone else did earlier for one less point (your choice),I dare you to choose a dare that someone else did earlier for one less point (your choice),Nathan W,https://yt3.ggpht.com/ytc/AGIKgqPTi2Pk7XZuqrQjQj_KrQnGEIQ-8Q3-HVt8Sbx3YA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UClCrRmM_Hz6LvYlZEqlkikA,{'value': 'UClCrRmM_Hz6LvYlZEqlkikA'},True,none,0,2020-05-03T08:25:09Z,2020-05-03T08:25:09Z,,UgxSj0Jhz4ABbXzv2t54AaABAg
d380meD0W0M,It’s been years and the intro still hasn’t changed - love it,It’s been years and the intro still hasn’t changed - love it,Nathan W,https://yt3.ggpht.com/ytc/AGIKgqPTi2Pk7XZuqrQjQj_KrQnGEIQ-8Q3-HVt8Sbx3YA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UClCrRmM_Hz6LvYlZEqlkikA,{'value': 'UClCrRmM_Hz6LvYlZEqlkikA'},True,none,1,2020-05-03T08:17:32Z,2020-05-03T08:17:32Z,,UgxG8eNr_n1ShoCM5El4AaABAg
